Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags,Website,Notes
DASCAIN PTE. LTD.,2026,1 - 10,Pre-seed,AI; Fintech; Enterprise Solutions; Blockchain; Cloud,Big Data; Data Analysis; SaaS; Data Warehouse; Communication Systems; Risk Management,https://www.dascain.com,
ART AGAIN PTE. LTD.,2025,,Pre-seed,,,https://artagain.co/,
INDEXYNC PTE. LTD.,2025,1 - 10,Pre-seed,E-Commerce; Enterprise Solutions; SaaS,E-Commerce; SaaS; Inventory Management,https://indexync.com/,
CHAMPION WEB PTE. LTD.,2025,1 - 10,Pre-seed,E-Commerce; SaaS; Data Analysis; Big Data,,https://championweb.com,
ROBOT FARM PTE. LTD.,2025,1 - 10,Pre-seed,Agritech; Retail; Supply Chain & Logistics; Food Manufacturing & Processing; Robotics,Precision Agriculture; Food Packaging; Organic Farming,https://ohmystrawberry.com/,
CASTOMIZE TECHNOLOGIES PTE. LTD.,2022,1 - 10,Pre-seed,Medtech,Medical devices; 3D Printing,https://castomize.co,
GUIDE PASS ASIA PTE. LTD.,2024,1 - 10,Pre-seed,Media; Travel & Hospitality; SaaS,smart tourism; cultural technology; travel technology; night economy; Immersive Media; tourism saas; digital infrastructure; Experience Economy; asean tech,http://www.guidepassasia.com,
APEX HEALTH SYSTEMS PTE. LTD.,2025,1 - 10,Pre-seed,AI; Healthcare,,https://zeya.health,
FILEPILLAR PTE. LTD.,2026,1 - 10,Pre-seed,AI; Fintech; Enterprise Solutions; SaaS,"Artificial intelligence, Fintech, Taxtech, SAAS",https://filepillar.com/,
2STRANDS BIOSCIENCES PTE. LTD.,2023,1 - 10,Pre-seed,Medtech,"Precision Oncology, MRD, Liquid Biopsy",https://2strandsbiosciences.com/,
EASYCUBE SG PTE. LTD.,2026,1 - 10,Pre-seed,AI; E-Commerce; IoT,,https://easycubesg.com,
ANTOMATION PTE. LTD.,2023,1 - 10,Pre-seed,Aerospace; AI; Manufacturing & Engineering; Hardware,AI; Robotics; physical ai; Automation; machine vision,https://antomation.net,
OSIRIS TECHNOLOGY PTE. LTD.,2024,1 - 10,Pre-seed,AI; Enterprise Solutions; IoT; Data Analysis; Big Data,Application Development; SaaS; Inventory Management; Data Analysis,https://osiris.so/,
GRAIL COMPUTER LABS PTE. LTD.,2025,1 - 10,Pre-seed,AI; Enterprise Solutions,,https://grail.computer/,
BUILDSBE PTE. LTD.,2024,1 - 10,Pre-seed,,,http://Buildsbe.com,
SEDIFLY PTE. LTD.,2025,11 - 50,Pre-seed,Education,Education; college; ivy league; oxbridge; Edtech,https://www.sedifly.com/,
BION OS PTE. LTD.,2026,1 - 10,Pre-seed,Gaming; Infotech; AI; Digital Health; Lifestyle,Health; Fitness; Gamification; AI; Performance; Wellness,https://getbion.com,
PATHLOOP PTE. LTD.,2025,1 - 10,Pre-seed,AI; Enterprise Solutions; SaaS,AI; ai agents; RevOps; B2B SaaS; AI Infrastructure; enterprise software; Vertical SaaS; LLM; Automation; Workflows,https://trypathloop.com,
SAXTY PTE. LTD.,2025,1 - 10,Pre-seed,,,https://www.youtube.com/channel/UColrbeK6VMRZrTT0h60pO5g,
ASSESSLY PTE. LTD.,2026,1 - 10,Pre-seed,AI; Enterprise Solutions; Manufacturing & Engineering; SaaS; Data Analysis,,https://www.assessly.ai/,
KITE SEMICONDUCTOR PTE. LTD.,2026,1 - 10,Pre-seed,AI; Telecom; Infocomm Tech; Hardware,"High Speed IOs, ESD Reliability, AI Hardware Interface",http://kitesemiconductor.com/,
PRECIFLO PRIVATE LIMITED,2026,1 - 10,Pre-seed,AI; Enterprise Solutions; Data Analysis; Big Data,Customer Relationship Management; Data Analysis; AI; Agentic AI; sales intelligence,https://www.preciflo.com,
AVNR PTE. LTD.,2024,1 - 10,Pre-seed,AI; Fintech; Enterprise Solutions,Risk Management; Knowledge Management,https://www.avnr.ai,
FUSIONCORE PTE. LTD.,2024,1 - 10,Pre-seed,,Travel Guide Tour ,https://tourna.io/,
STYR ASIA PTE. LTD.,2025,1 - 10,Pre-seed,Transport; AI; Data Analysis; Big Data,,https://www.styr.asia,
INFERNOGUARDVEIL PTE. LTD.,2025,1 - 10,Pre-seed,Urban Solutions; Manufacturing & Engineering,Renewable Energy,https://igv.sg,
CLARION ANALYTICS PTE. LTD.,2021,1 - 10,Pre-seed,AI; Enterprise Solutions; IoT; SaaS,entreprise ai; Health Insurance Claim Intelligence API; Compliance and Hazard Detection Systems; Conversational voice AI for lead response and qualification,https://clarion.ai/,
CERUCLEAN PTE. LTD.,2025,1 - 10,Pre-seed,Medtech,"Hearing aid cleaning, receiver cleaning, Earwax removal fro hearing aids",https://cerucolve.com,
DOCTHREAD AI PTE. LTD.,2024,1 - 10,Pre-seed,Infotech; AI; Enterprise Solutions; Infocomm Tech; Cloud,Systems Development; SaaS,https://www.docthread.ai,
AUTO INTELLIGENCE PTE. LTD.,2024,1 - 10,Pre-seed,,,https://www.shopee.sg/funtasticfoodies,
MAMAME WHOLE FOODS PTE. LTD.,2023,11 - 50,Pre-seed,Food Science and Technology; Food & Beverage; Food Manufacturing & Processing,Smart & Sustainable Packaging; Alternative Protein; Food Packaging,https://www.mamamewholefoods.com,
HYBRIDAI PTE. LTD.,2024,1 - 10,Pre-seed,AI; Enterprise Solutions; SaaS; Cloud,,https://hybridai.ai,
Canterly,2024,1 - 10,Pre-seed,Agritech; AI; SaaS; Data Analysis,SaaS; Seed; Equestrian; sportstech ,https://canterly.com,
MLTECH SOFT PTE. LTD.,2023,11 - 50,Pre-seed,AI,FMCG; Software Company; AI; SaaS,https://mltechsoft.com,
KNITFIT PTE. LTD.,2024,1 - 10,Pre-seed,Healthcare; Manufacturing & Engineering; Robotics,Textiles; Knitting; Garments; customised; On-Demand; Compression Garments; Machine Knitting,https://knit.fit,
NATTYNITES PTE. LTD.,2024,1 - 10,Pre-seed,E-Commerce; Real Estate; Travel & Hospitality; Lifestyle; Blockchain,Cryptocurrency; Investing; E-Commerce; Home & Living,https://nattynites.club/,
ROOTS INNOVATION PTE. LIMITED,2023,1 - 10,Pre-seed,AI; Enterprise Solutions; Infocomm Tech; Healthcare; Big Data,Big Data; Data Analysis; microservices; AI; Digital Transformation; Kubernetes; data mesh,https://rtsinv.com/,
POPWOW SPACE PTE. LTD.,2022,1 - 10,Pre-seed,Education; E-Commerce; Events; Healthcare Services; Lifestyle,Wellness; women; Fitness; active; motherhood; sisterhood,https://www.popwow.space,
MOTTAINAI FOOD TECH PTE. LTD.,2022,1 - 10,Pre-seed,Food Science and Technology; Food & Beverage; Food Manufacturing & Processing,,https://mtnfoodtech.com/,
RIZQX PTE. LTD.,2023,1 - 10,Pre-seed,Fintech; Lifestyle,Personal Finance,https://rizqx.sg/,
3T'S DIGITAL PTE. LTD.,2023,1 - 10,Pre-seed,Supply Chain & Logistics,,https://www.carousell.sg/u/g.thachna/,
SUNLUNE (SINGAPORE) PTE. LTD.,2022,11 - 50,Pre-seed,Semiconductor; AI; Nanotechnology; Blockchain; IoT,Semiconductor,https://sunlune.us/#/home/index,
ORCHID CALIBRATION PTE. LTD.,2019,1 - 10,Pre-seed,Aerospace; Marine & Offshore,Aviation,http://www.orchidcal.com,
EFL AG-DATA PTE. LTD.,2024,1 - 10,Pre-seed,Agritech; AI; SaaS; Data Analysis; Big Data,#agriculture #data #ai #artificialintelligence #bigdata #dataanalytics #agritech #dataanalysis ,https://www.eflagdata.com,
IMIDAILY PTE. LTD.,2022,1 - 10,Pre-seed,Fintech; Travel & Hospitality; Lifestyle,"Immigration, Marketplace",https://www.imi-asia.com,
CALL HANDYMAN PTE. LTD.,2024,1 - 10,Pre-seed,E-Commerce; Enterprise Solutions; Lifestyle; Others; SaaS,Home & Living; E-Commerce; Facilities Management; SaaS; handyman platform; Home Services; services matching;  home maintenance; Renovation; app-based services,https://www.callsifu.com/,
SYSTEMSYN TECHNOLOGIES PTE. LTD.,2023,1 - 10,Pre-seed,Transport; AI; Infocomm Tech; Data Analysis; Big Data,AI video Analysis System,https://systemsyn-tech.com,
CAPTAIN CRANBERRY PTE. LTD.,2024,1 - 10,Pre-seed,AI; E-Commerce; Lifestyle,E-Commerce; Home & Living; Data Analysis,https://captaincranberry.com/,
STACKBRAINS PTE. LTD.,2024,1 - 10,Pre-seed,,,https://stackbrains.dev,
RIDM PTE. LTD.,2023,1 - 10,Pre-seed,Semiconductor,Semiconductor,https://ridm.tech,
AKEERA PTE. LTD.,2020,1 - 10,Pre-seed,AI; Digital Health; Enterprise Solutions; SaaS; Big Data,Health Analytics; Mobile Health; Telemedicine; SaaS,https://healthqr.co,
VIEWMAX M&E ENGINEERING PTE LTD,2024,11 - 50,Pre-seed,Real Estate; Manufacturing & Engineering; Hardware,M&E; ELECTRICAL WORKS; Construction; PLUMBING,http://www.viewmax.me,
SPINDLE PTE. LTD.,2023,1 - 10,Pre-series A,Medtech; AI; Nanotechnology; SaaS; Cloud,#SpinningQuantum,https://www.spindle.sg/,
BROADWAN TECHNOLOGIES PTE. LTD.,2023,1 - 10,Pre-seed,Retail; Infotech; Telecom; Infocomm Tech,"NETWORKING PRODUCTS (EG ROUTERS, SWITCHES)",http://www.broadwan.co,
ROSALIND DX PTE. LTD.,2024,1 - 10,Pre-seed,Medtech; Biotech; Healthcare,Diagnostics; In Vitro Diagnostics (IVD); biotech; MedTech,https://www.rosalinddx.com,
RAYVENX PTE. LTD.,2024,1 - 10,Pre-seed,,,https://rayvenx.com,
NEXT BIG HIT SPORTS PTE. LTD.,2024,1 - 10,Pre-seed,Education; Complementary Health Products; Events; Enterprise Solutions; Entertainment,Sports MICE Travel; Sport Tourism Management ; Sports Event Planning; Sports Technology ; Sports Copyright Holder Overseas Project; Sports Club Venue Management ,http://www.nbhsports.com,
GLORIOUS CARE PTE. LTD.,2023,1 - 10,Pre-seed,AI; Digital Health; Healthcare; SaaS,"AI, Eldercare, SaaS, B2B SaaS, Digital Health",https://beglorious.co,
WUBBLE.AI PTE. LTD.,2024,1 - 10,Pre-seed,Gaming; AI; Events; Enterprise Solutions; Entertainment,AI Music B2B Marketing Content Advertising Gaming Retail Hospitality,https://www.wubble.ai/,
GRANTBII TECHNOLOGIES PTE. LTD.,2024,1 - 10,Pre-seed,AI; Infocomm Tech; Big Data,#AIGrantManagement #BusinessFundingAutomation #GlobalGrantDiscovery #SmartProposalGeneration #GrantLifecycleSolutions,https://grantbii.com/,
HEXCORE LABS PTE. LTD.,2024,1 - 10,Pre-seed,Education; Gaming; Infotech; Infocomm Tech; Cloud,Cyber Security; E-Learning; Gamification,https://hexcore-labs.com,
SHOMVOB PTE. LTD.,2022,11 - 50,Pre-seed,Fintech; SaaS,Investing,https://shomvob.co/,
NOVERSE INC. PRIVATE LIMITED,2024,1 - 10,Pre-seed,Education,#edutech,https://www.linkedin.com/company/101741082/admin/dashboard/,
CULINARY UNITED PTE. LTD.,2023,1 - 10,Pre-seed,,,https://www.instagram.com/idrink_sg/,
TYPFACE PTE. LTD.,2023,1 - 10,Pre-seed,Gaming; E-Commerce; Hardware,industrial design; product design; Consumer Electronics,https://typface.com/,
ETNIC TECHNOLOGIES PTE. LTD.,2024,1 - 10,Pre-seed,Infocomm Tech,Software,https://stackd.club/,
LINCORE PRIVATE LIMITED,2024,1 - 10,Pre-seed,Urban Solutions; Cleantech; Hardware,,https://www.linkedin.com/company/lincoretech/,
STONE RHINO SERVICES PRIVATE LIMITED,2021,1 - 10,Pre-seed,Enterprise Solutions; Supply Chain & Logistics; IoT,"Document Storage, Furniture Storage, ERP, Digitization, Document Destruction",https://www.stonerhinosvc.com,
DIGITAL SPORT SOLUTIONS PTE. LTD.,2023,1 - 10,Pre-seed,AI; Data Analysis,,https://adasports.tech/,
CENTAURION LOGISTICS PTE. LTD.,2024,1 - 10,Pre-seed,Supply Chain & Logistics,logistics; last mile,https://www.centaurionlogistics.com/,
ACOERELA PTE. LTD.,2022,1 - 10,Pre-seed,Food Science and Technology; Biotech; Pharmaceutical; Nanotechnology,Medical devices; In Vitro Diagnostics (IVD); Life Science Tools; Application Development; Optics & Photonics; Medical Imaging; Microbiology; Rapid Testing Kits,http://www.acoerela.com,
SELAYY PTE. LTD.,2024,1 - 10,Pre-seed,Media; Industrial Electronics; E-Commerce; Enterprise Solutions; IoT,E-Commerce; Home & Living; Social Networking,https://www.tiktok.com/@whiff.sg,
AMBLE CO PTE. LTD.,2024,1 - 10,Pre-seed,AI; Lifestyle; SaaS,Social Networking; Conversation Facilitation; Matchmaking; networking; Mental Wellness; events,https://ambleproject.com/,
CINCH SG PTE. LTD.,2022,51 - 100,Seed,E-Commerce; Consumer Electronics; Fintech,E-Commerce; Payment Systems; Consumer Electronics,https://cinch.sg/,
N&E INNOVATIONS PTE. LTD.,2020,,Pre-seed,,,https://vi-kang.com,based on internet checks
NEWMAN COLLECTIVE PRIVATE LIMITED,2024,1 - 10,Pre-seed,Food Science and Technology; Food & Beverage; E-Commerce; Lifestyle; Food Manufacturing & Processing,Alternative Protein; Protein; Smart & Sustainable Packaging; Insect Farming; Health Supplements,https://newmansg.com/,
NANYANG VERSION MANAGEMENT LAB PTE. LTD.,2025,1 - 10,Pre-seed,Infotech; AI; Enterprise Solutions; SaaS,SaaS; Big Data; lear; Cloud; AI,https://gitme.ai,
CARROTBYTE PTE. LTD.,2025,1 - 10,Pre-seed,,,https://www.carrotbyte.io,
ANOMALY BIO PTE. LTD.,2025,1 - 10,Pre-seed,Biotech; Cleantech,fermentation; Genetic Engineering; Bioprocess Engineering,https://www.anomalybio.com/,
FLUXIA PTE. LTD.,2023,1 - 10,Pre-seed,Industrial Electronics; AI; Manufacturing & Engineering; IoT,"X-Ray, Imaging, AI, Sensing",https://www.fluxia.com,
FUTURELEARNER.AI PTE. LTD.,2025,1 - 10,Pre-seed,Education; E-Commerce; AI,E-Learning; E-Commerce,https://www.FutureLearner.ai,
TRIAJNA PTE. LTD.,2026,1 - 10,Pre-seed,Education; Travel & Hospitality; SaaS; Data Analysis,SaaS; hospitality; Education; AI,https://triajna.com/,
MAGICOD TECHNOLOGIES PTE. LTD.,2024,1 - 10,Pre-seed,AI; Enterprise Solutions; SaaS; Data Analysis; Big Data,SaaS; Sales AI; crm; Sales Automation; POS; All-in-one Sales solution; SME Solution; Digital Transformation; Sales and Marketing; content strategy,https://magicsas.app/,
TWILIGHTSUN PTE. LTD.,2024,1 - 10,Pre-seed,Food & Beverage; AI; Robotics,FoodTech;  AI ; Vending Automation;  Fresh Food;  F&B Innovation;  Smart Retail ; Food Automation ; ASEAN Expansion ; Urban Convenience ; Restaurant Technology,https://twilightsun.co,
ARDOR CEREBRUM PTE. LTD.,2024,1 - 10,Pre-seed,AI; Cloud,AI; Cloud; PaaS; Application Development; Devops,https://ardor.cloud,
NEXIOT PTE. LTD.,2023,1 - 10,Pre-seed,Supply Chain & Logistics; Manufacturing & Engineering; IoT; Hardware; AR/VR,IOT Hardware Startup Digitalization,http://www.nexpcb.com,
THIN MARGIN,2016,,Pre-seed,Fintech,,https://www.thinmargin.com/,
PolicyPal,2018,11 - 50,Seed,Fintech,,http://www.policypal.com,
Freedom Cups Pte Ltd,2016,1 - 10,Pre-seed,,,http://www.freedomcups.org/,
Practicle Pte Ltd,2017,1 - 10,Pre-seed,Education,Learning Platform,https://practicle.sg/,
CombineSell,2017,11 - 50,Seed,Lifestyle,E-Commerce,https://blog.combinesell.com/,
Techssisted Micromed Pte. Ltd.,2016,,Pre-seed,Medtech,,http://www.techssisted.com/,
Precision Medical Private Limited,2016,1 - 10,Pre-seed,Medtech,Medical devices; Diagnostics,http://www.precisionmedical.com.sg/,
MONEYSMART,2016,11 - 50,Series B,,,https://www.moneysmart.sg/,
Fixit.sg,2016,1 - 10,Pre-seed,Lifestyle,,https://www.fixit.sg,based on internet checks
Gush,2017,51 - 100,Pre-series A,Cleantech; Lifestyle,Urban Solutions; Cleantech; Lifestyle,https://www.gowithgush.com/,
Aevice Health,2016,11 - 50,Seed,Digital Health,Health Analytics; Medical devices; Digital Health,https://www.aevice.com/,
Noodle Factory,2018,11 - 50,Seed,Education; AI,Learning Platform; E-Learning; chatbot; AI; Edtech,https://www.noodlefactory.ai/,
StaffAny,2018,1 - 10,Seed,Enterprise Solutions,,https://www.staffany.com/,
Jules,2017,1 - 10,Pre-series A,Education,Gamification; Learning Platform; E-Learning; 21st Century skills; Computational Thinking; Digital Literacy; preschool,https://www.juleszone.com/,
Performance Rotors,2016,11 - 50,Pre-series A,Aerospace; AI; Maritime; Marine & Offshore; Robotics,Drones; Confined Space Inspection ; Non-GPS; Thickness Measurement; NDT; UAV,https://performance-rotors.com/,
Crowbar,2016,,Pre-seed,Enterprise Solutions,Legal Tech; Human Resources,,
iWonder,2018,1 - 10,Seed,Media; Education; Infocomm Tech; Entertainment,Video Streaming; E-Learning; Learning Platform; Music & Podcasts,https://iwonder.com/,
iimafix,2017,1 - 10,Seed,Education; E-Commerce; Real Estate,"Blockchain, productivity, algorithm, geolocation, home repair, mobile app, commoditise, price efficiency, productivity; handyman, education, lifeskills",https://www.iimafix.com/,
DDIY,2018,11 - 50,Pre-seed,Retail; AI; Real Estate; Urban Solutions; Lifestyle,Home & Living; Facilities Management; Planning & Design; Urban Living; Smart Cities,http://www.dd-iy.com,
Value3,2018,1 - 10,Seed,AI; Fintech; SaaS; Data Analysis; Big Data,Risk Management; Asset Management; credit rating; credit research; robo advisory; chatbot; machine learning; Natural Language Processing; Deep Tech,https://www.value3-advisory.com/,
Stretchskin Technologies,2018,,Pre-seed,Medtech,,https://www.privicu.com/,
Burst Learning,2017,1 - 10,Pre-seed,Education; AI; Blockchain,Edtech; Learning Platform; E-Learning,https://burstlearning.ai/,
Sinfootech,2018,,Pre-seed,Agritech,,http://sinfootech.com/,
Aersure,2018,1 - 10,Pre-seed,Aerospace; Transport; E-Commerce; Supply Chain & Logistics; Cloud,Aviation; logistics; Air Freight; E-Commerce; cross-border; Shipping ; B2C; last-mile; SaaS; Automation,https://www.aersure.com,
Robin.AI,2018,,Pre-seed,Enterprise Solutions,,https://www.hirerobin.ai/,
TALCYON PTE. LTD.,2017,,Pre-seed,,,http://www.talcyon.com/,
Doctor Anywhere,2016,,Series B,Healthcare Services,,https://doctoranywhere.com/,
PAYX ASIA PTE. LTD.,2018,11 - 50,Pre-seed,Fintech; Enterprise Solutions,Knowledge Management; Banks; Payments,http://www.payxintl.com,
SMART SOLUTION(S) PTE. LTD.,2016,1 - 10,Seed,,,http://www.smarts.sg,
Oncoshot,2018,1 - 10,Seed,Healthcare Services,cancer clinical trials healthcare,https://www.oncoshot.com/,
EMULYA FINTECH PTE. LTD.,2018,,Pre-seed,,,,no webpage found
OTOMOBIRU PTE. LTD.,2018,1 - 10,Pre-seed,Transport; AI; Enterprise Solutions; Data Analysis; Big Data,automotive ecosystem; machine learning; digital twin ,http://www.otomobiru.com,
FEYTH PTE. LTD.,2017,1 - 10,Pre-seed,AI; Manufacturing & Engineering; IoT; Data Analysis; Big Data,Prescriptive maintenance,,
Digital Commerce Intelligence,2018,11 - 50,Seed,AI; E-Commerce; Data Analysis; Big Data,eCommerce Market Share; Commercial AI ; data,https://dci.ai,
Newton's Meter,2017,1 - 10,Pre-seed,Industrial Electronics; AI; Consumer Electronics; Others; IoT,Accident and Emergency; Elder Care; Hotline; SOS; Road safety; Skip and Fall safety; Women’s Safety; Kids Safety; Artificial intelligence; Big Data,https://www.newtonsmeter.com,
GENETECH BIOTECHNOLOGY PTE. LTD.,2018,,Pre-seed,,,,
ZAPPGEN TECHNOLOGIES PTE. LTD.,2018,1 - 10,Pre-seed,Infotech; E-Commerce; Enterprise Solutions; Cloud; Big Data,appdevelopment ; websitedevelopment; crm; ecommerce; webapps,https://zappgen.com,
PROPRE PTE. LTD.,2017,11 - 50,Pre-seed,AI; Real Estate; Others; Data Analysis; Big Data,#PropTech; #realestatetechnology; #futureofrealestate; #propertydatabase; #realestatedatabase; #globalpropertyguide; #globalrealestate; #investmentdata; #propertydataanalysis; #realstateanalysis,https://propre.com/,
PIGGYBACK PTE. LTD.,2018,1 - 10,Pre-seed,Retail; E-Commerce; Supply Chain & Logistics; Urban Solutions; Lifestyle,delivery; transport; logistics; community marketplace; Platform; small businesses; E-Commerce; excess; Food Packaging; Waste Management,http://www.piggyback.sg,
WHIZZSTAR TECHNOLOGIES PTE. LTD.,2018,1 - 10,Pre-seed,Infotech; Enterprise Solutions; IoT; Data Analysis,"Data Analytics, IT System Integrator",http://whizzstar.com,
KVP-SOLUTION PTE. LTD.,2018,1 - 10,Pre-seed,E-Commerce; Others; Cloud,digital; Marketing,http://kvp-solution.com,
SEAPLUS INFONAUTICS PTE. LTD.,2017,,Pre-seed,,,https://www.seaplusinfonautics.com,
SEESAME PTE. LTD.,2021,1 - 10,Pre-seed,Infotech; AI; Fintech; Enterprise Solutions; Data Analysis,#AI; Personal Finance; Customer Relationship Management,https://www.kiitos.app,
DATATURNER PTE. LTD.,2026,1 - 10,Pre-seed,AI; Enterprise Solutions; Infocomm Tech; SaaS; Big Data,ai agents; agents; Enterprise; query; wholesale; F&B,http://dataturner.io,
SPACE ARMOUR PTE. LTD.,2024,1 - 10,Pre-seed,Aerospace; AI; Others,Space Technology,https://spacearmour.io/,
OMMU PTE. LTD.,2025,1 - 10,Pre-seed,AI; Food & Beverage; Travel & Hospitality; Enterprise Solutions; SaaS,Artificial intelligence; Generative AI / LLM; Natural Language Processing (NLP); Food & Beverage (F&B); Hospitality Tech; enterprise software; Software as a Service (SaaS); operational intelligence; workflow automation; Data Analytics,https://ommu.ai,
QRUNCHI PRIVATE LIMITED,2026,1 - 10,Pre-seed,Food & Beverage; Food Manufacturing & Processing,Food; Breakfast; snack; Cereal; Granola; Zero sugar; Traditional Chinese Medicine; TCM,https://qrunchigranola.com/,
STATGRAF RESEARCH PTE. LTD.,2025,1 - 10,Pre-seed,Semiconductor; Aerospace; Industrial Electronics; AI; Robotics,,https://stagraf.com/,
CARECAM PTE. LTD.,2022,1 - 10,Pre-series A,Medtech; AI; Digital Health; Healthcare,Medical devices; Geriatrics; Neurology; Musculoskeletal; Orthopedics; Routine care,https://carecam.ai,
LARK TECHNOLOGIES PTE. LTD.,2018,,Pre-seed,Enterprise Solutions; SaaS,,https://www.larksuite.com/,based on internet checks
RE-POLY3D PTE. LTD.,2025,1 - 10,Pre-seed,Precision Engineering; E-Commerce; Cleantech; Manufacturing & Engineering; Hardware,3D Printing; Pollution Control; Recycling; Waste Technology; Waste Management; Cleaning Technology; Materials & Processes,https://re-poly3d.com/,
JUST DABAO PTE. LTD.,2020,1 - 10,Pre-seed,Food & Beverage; E-Commerce; Lifestyle; Data Analysis,food waste; market place; Sustainability; budget friendly; Mobile Application; discount; rescue food; surplus food; food and drinks; unsold food,https://justdabao.com/,
SUSTAINABLE AI PTE. LTD.,2025,1 - 10,Pre-seed,AI; Enterprise Solutions,Sustainability; AI; consulting ,https://sustainable-ai.sg/,
ALTRONIS PTE. LTD.,2026,1 - 10,Pre-seed,Infotech; AI; Enterprise Solutions; Manufacturing & Engineering; Cloud,"Natural Language Processing, Knowledge Management, Customer Relationship Management, Systems Development, Application Development, SaaS, Data Analysis, Big Data, Risk Management, Cyber Security",https://altronis.sg,
FORENSIGHTS PTE. LTD.,2025,1 - 10,Pre-seed,AI; Others; Data Analysis; Big Data,Cyber Security; Data Analysis,https://forensights.com/,
Haulio Pte Ltd,2016,11 - 50,Pre-series A,Supply Chain & Logistics,Haulage; Cargo; Container Haulage,http://www.haulio.io/,
Gluu Life Pte Ltd,2017,1 - 10,Pre-seed,Telecom,Sharing Economy; Communication Systems,http://www.gluu.life,
Speedoc,2017,101 - 200,Series A,Healthcare Services; Digital Health; AI; Healthcare; IoT,Medical devices; Diagnostics; MedTech; Primary Care; Specialist Care; Digitised Health Systems; Health Analytics; Telemedicine; Mobile Health; Tertiary Care,https://www.speedoc.com/,
ESCO REGENERATIVE MEDICINE PTE. LTD.,2016,Above 200,Pre-seed,Medtech,,http://escoventures.com,
F&B SMART AUTOMATION SYSTEMS PRIVATE LIMITED,2016,1 - 10,Pre-seed,Food & Beverage,,,
MAGMASOFT,2016,,Pre-seed,Precision Engineering,,https://www.magmasoft.com.sg/en/,
SWISS HEALTH VENTURES PTE. LTD.,2020,1 - 10,Pre-seed,Complementary Health Products,Medical devices; Telemedicine; Health Analytics; Digitised Health Systems,https://alethia-life-sciences.jimdofree.com/,
STEP SURGICAL SOLUTIONS PTE. LTD.,2020,1 - 10,Pre-seed,Medtech,Surgery; Medical devices; Hospital; Instruments; Laproscopy; Endoscopy,https://www.trendlines.com/company/step/,
CELLWAVE TECHNOLOGIES PTE. LTD.,2019,1 - 10,Seed,Medtech; Biotech,Microbiology; molecular diagnostics; molecular medicine; precision medicine,http://www.cellwavetech.com,
GRANDVIEW HEALTHCARE PTE. LTD.,2020,1 - 10,Pre-seed,Digital Health; Healthcare Services; Enterprise Solutions; Healthcare; IoT,Digitised Health Systems; Health Analytics; Primary Care; Tertiary Care; Mobile Health; Intermediate and Long Term Care; Real-Time Location Systems; Indoor Position Systems; Patient Safety; operational efficiency,https://www.gvkinetics.com,
MyrLabs,2018,1 - 10,Pre-seed,IoT; Robotics,,http://www.myrmidonlaboratories.com/,
PURPOSE PERFORMANCE WEAR PTE. LTD.,2016,1 - 10,Pre-seed,Retail; Complementary Health Products; E-Commerce; Lifestyle; Manufacturing & Engineering,E-Commerce; Sports; apparels; Fashion; Athleisure; Sportswear,https://purpose.asia,
APPLIEDCHEMSG PTE. LTD.,2019,1 - 10,Pre-seed,Precision Engineering; Retail; Healthcare; Manufacturing & Engineering,Surface Coating; AM; 3D Printing; Jewellery; CAD,https://www.appliedchemsg.com,
BITDATA DIGITAL TECH PTE. LTD.,2019,11 - 50,Series A,Fintech; Blockchain,Cryptocurrency; Personal Finance; Trading; Finance; Investing; Anti-Money Laundering; Cyber Security; Payment Systems; Risk Management,https://www.bitex.sg/,
TruTrip,2019,11 - 50,Pre-seed,Travel & Hospitality; Enterprise Solutions; SaaS,travel; Travel Management; Risk Management,https://trutrip.co,
EMIT TECHNOLOGY GLOBAL PTE. LTD.,2020,,Pre-seed,,,https://www.tenxbrands.com/,
CARNET TECHNOLOGY PTE. LTD.,2019,1 - 10,Seed,E-Commerce,An Apps that provides a peace of mind for car owners when comes to their cars maintenance and repair.,https://www.facebook.com/sgislandwide,
K9 CONNECTION PTE. LTD.,2020,1 - 10,Pre-seed,Education; Urban Solutions; Lifestyle,"security solutions, pet solutions",http://www.k9connectionsg.com,
BEAMSTART,2016,1 - 10,Pre-seed,Media; Infotech; Events; SaaS; Data Analysis,Social Media; News; startup; Business; networking; Community; events; Jobs; Funding; Invest,https://beamstart.com,
HEALTHDR PTE. LTD.,2020,,Pre-seed,,,,no webpage found
ALIENA PTE. LTD.,2018,1 - 10,Seed,Aerospace; Manufacturing & Engineering; IoT; Data Analysis; Big Data,Space Technology,http://www.aliena.sg,
ECHOVENTO PTE. LTD.,2019,11 - 50,Pre-seed,Cleantech,Solarpower Cleantech ,https://www.facebook.com/impactechos,
UNISTOP TECH PTE. LTD.,2020,1 - 10,Pre-seed,Retail; AI; E-Commerce; Robotics,E-Commerce; Robotics,http://www.unistoptech.com,
PERSPECTIVES DESIGN PTE. LTD.,2016,1 - 10,Pre-seed,Events; Others; Data Analysis; AR/VR,MICE; Planning & Design; AR/VR; 3D Rendering,https://www.perspectives.com.sg/,
PANZER TECHNOLOGY PTE. LTD.,2017,1 - 10,Pre-seed,Retail; Enterprise Solutions; Lifestyle; Blockchain; IoT,Systems Development; Application Development; Communication Systems; Web Development; Content Hosting; SaaS; Facilities Management; Social Media; hospitality management,https://www.panzertech.com/,
